Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2019,Nov,Chesapeake City,3596,11206,325850,285,3030
2019,Nov,Franklin City,1155,3097,30044,80,1144
2019,Nov,Isle of Wight County,1644,3747,77392,60,447
2019,Nov,Norfolk City,9968,34492,551042,1235,11337
2019,Nov,Northampton County,248,691,13160,95,1321
2019,Nov,Portsmouth City,2334,7820,123310,560,5364
2019,Nov,Southampton County,653,1412,27976,145,1432
2019,Nov,Suffolk City,2338,5631,84411,250,2577
2019,Nov,Sussex County,255,545,22297,130,1910
2019,Nov,Virginia Beach City,5749,21214,307689,220,2204
2019,Oct,Accomack County,1976,5811,112874,340,4795
2019,Oct,Chesapeake City,3752,9970,230149,285,4754
2019,Oct,Franklin City,813,2016,24564,80,1106
2019,Oct,Isle of Wight County,1432,3254,50338,60,829
2019,Oct,Norfolk City,10192,36934,487128,1235,26111
2019,Oct,Northampton County,316,699,13015,95,1394
2019,Oct,Portsmouth City,2714,8456,125045,560,12884
2019,Oct,Southampton County,600,1331,21735,145,2525
2019,Oct,Suffolk City,2827,6256,80004,250,5340
2019,Oct,Sussex County,268,478,11001,130,1824
2019,Oct,Virginia Beach City,5342,23819,323227,220,3067
2019,Sep,Accomack County,1871,5542,136546,0,0
2019,Sep,Chesapeake City,3650,10121,216512,55,3812
2019,Sep,Franklin City,600,1615,20763,0,1197
2019,Sep,Isle of Wight County,1369,3179,36268,0,904
2019,Sep,Norfolk City,8383,31339,390050,140,3523
2019,Sep,Northampton County,273,550,16069,0,0
2019,Sep,Portsmouth City,2273,7961,119606,80,580
2019,Sep,Southampton County,604,1378,18295,0,1633
2019,Sep,Suffolk City,2470,4834,59654,0,0
2019,Sep,Sussex County,249,614,8833,0,941
2019,Sep,Virginia Beach City,4776,19338,295832,0,2308
2020,Apr,Accomack County,1490,5048,111528,232,0
2020,Apr,Chesapeake City,1412,3002,283792,0,0
2020,Apr,Franklin City,640,637,97729,0,1717
2020,Apr,Isle of Wight County,668,1499,35796,60,0
2020,Apr,Norfolk City,4714,17916,661298,50,0
2020,Apr,Northampton County,294,685,22577,213,1383
2020,Apr,Portsmouth City,1517,4004,76640,0,0
2020,Apr,Southampton County,1,1,15943,0,0
2020,Apr,Suffolk City,1038,1896,118358,0,0
2020,Apr,Sussex County,154,310,3969,0,0
2020,Apr,Virginia Beach City,2581,7930,307865,45,0
2020,Feb,Accomack County,1787,5372,111727,340,4686
2020,Feb,Chesapeake City,2937,8421,207695,285,5281
2020,Feb,Franklin City,941,2368,25973,80,1166
2020,Feb,Isle of Wight County,1265,2838,37692,60,842
2020,Feb,Norfolk City,7091,27928,421031,1235,27951
2020,Feb,Northampton County,307,591,7184,95,950
2020,Feb,Portsmouth City,2102,7070,90868,560,12516
2020,Feb,Southampton County,542,1183,27193,145,2056
2020,Feb,Suffolk City,2152,4478,64131,250,4779
2020,Feb,Sussex County,231,439,14717,130,1910
2020,Feb,Virginia Beach City,5002,19261,267806,220,4133
2020,Jan,Accomack County,1903,5795,89793,340,4983
2020,Jan,Chesapeake City,3724,9966,230486,285,4926
2020,Jan,Franklin City,836,2273,27427,80,1106
2020,Jan,Isle of Wight County,1341,2971,39693,60,1276
2020,Jan,Norfolk City,7630,31683,506536,1235,20196
2020,Jan,Northampton County,368,720,11754,95,1395
2020,Jan,Portsmouth City,2246,6144,110421,560,9380
2020,Jan,Southampton County,564,1241,24816,145,2712
2020,Jan,Suffolk City,2627,5396,88653,250,3606
2020,Jan,Sussex County,216,369,15404,130,1824
2020,Jan,Virginia Beach City,5555,21752,268950,220,3269
2020,Jun,Accomack County,1441,4287,77255,0,0
2020,Jun,Chesapeake City,2510,4033,135377,0,0
2020,Jun,Franklin City,139,142,49272,0,0
2020,Jun,Isle of Wight County,665,1408,36649,60,0
2020,Jun,Norfolk City,6552,19541,476621,813,25278
2020,Jun,Northampton County,372,562,22250,0,0
2020,Jun,Portsmouth City,2922,4765,64385,815,6399
2020,Jun,Southampton County,66,164,27342,1200,8377
2020,Jun,Suffolk City,1040,1763,44384,0,0
2020,Jun,Sussex County,34,81,12465,0,0
2020,Jun,Virginia Beach City,5270,16597,220581,397,2584
2020,Mar,Accomack County,1850,5527,100169,340,2531
2020,Mar,Chesapeake City,2041,6829,125680,268,1133
2020,Mar,Franklin City,749,1709,50684,80,3882
2020,Mar,Isle of Wight County,1100,2433,23526,60,903
2020,Mar,Norfolk City,6074,25558,337989,1194,8840
2020,Mar,Northampton County,282,589,10836,130,1070
2020,Mar,Portsmouth City,2241,7028,71051,560,4151
2020,Mar,Southampton County,340,853,14277,145,367
2020,Mar,Suffolk City,1738,3118,35189,150,3114
2020,Mar,Sussex County,235,394,9059,130,1797
2020,Mar,Virginia Beach City,3799,14348,165141,225,1961
2020,May,Accomack County,1344,4201,91664,150,0
2020,May,Chesapeake City,1580,4885,191083,310,2101
2020,May,Franklin City,324,805,84084,100,678
2020,May,Isle of Wight County,607,1343,21940,60,1662
2020,May,Norfolk City,4931,20470,532208,1620,839
2020,May,Northampton County,510,748,21971,600,0
2020,May,Portsmouth City,2923,4768,75616,300,2433
2020,May,Southampton County,67,176,12043,440,2305
2020,May,Suffolk City,975,1720,54868,200,1356
2020,May,Sussex County,27,60,7220,0,0
2020,May,Virginia Beach City,3888,12291,243511,40,1114
